date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:33	45/45	---M--	200	added ('OK')	text/plain	etag:%22676f89ef-2d%22	https://owasp.org/robots.txt		(from )
22:19:34	37044/37044	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/	httrack_owasp/owasp.org/www-community/attacks/index.html	(from )
22:19:35	34168/34168	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Binary_planting	httrack_owasp/owasp.org/www-community/attacks/Binary_planting.html	(from https://owasp.org/www-community/attacks/)
22:19:36	40121/40121	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Blind_SQL_Injection	httrack_owasp/owasp.org/www-community/attacks/Blind_SQL_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:37	36884/36884	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Blind_XPath_Injection	httrack_owasp/owasp.org/www-community/attacks/Blind_XPath_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:38	36673/36673	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Brute_force_attack	httrack_owasp/owasp.org/www-community/attacks/Brute_force_attack.html	(from https://owasp.org/www-community/attacks/)
22:19:39	33917/33917	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Buffer_Overflow_via_Environment_Variables	httrack_owasp/owasp.org/www-community/attacks/Buffer_Overflow_via_Environment_Variables.html	(from https://owasp.org/www-community/attacks/)
22:19:40	41455/41455	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Buffer_overflow_attack	httrack_owasp/owasp.org/www-community/attacks/Buffer_overflow_attack.html	(from https://owasp.org/www-community/attacks/)
22:19:41	33733/33733	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/CORS_OriginHeaderScrutiny	httrack_owasp/owasp.org/www-community/attacks/CORS_OriginHeaderScrutiny.html	(from https://owasp.org/www-community/attacks/)
22:19:42	85228/85228	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/CORS_RequestPreflightScrutiny	httrack_owasp/owasp.org/www-community/attacks/CORS_RequestPreflightScrutiny.html	(from https://owasp.org/www-community/attacks/)
